archive_rank,slug,source_url,asset_system_breadth,asset_categories,retained_formats,referenced_formats,runtime_signals,retained_asset_files,retained_asset_bytes
1957,marseille-by-la-phase-5,https://marseille.laphase5.com,3,3d_model | gpu_texture | shader,,dds | frag | glb | obj,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source,0,0
2058,chartogne-taillet,https://chartogne-taillet.com/en,3,3d_model | gpu_texture | shader,,dds | glb | glsl,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source,0,0
2207,un-printemps-suspendu,https://unprintempssuspendu.lequipe.fr/,3,3d_model | gpu_texture | webassembly,,dds | glb | wasm,draco_decoder | gltf_loader | lottie_runtime | offscreen_canvas | shader_source | web_worker,0,0
3268,garden-eight-1,https://garden-eight.com/,3,3d_model | shader | webassembly,,glb | glsl | gltf | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
182,brunos-portfolio,https://bruno-simon.com,2,3d_model | gpu_texture,glb | ktx,glb | ktx,,4,23313
2443,bruno-simon-portfolio,https://bruno-simon.com/,2,3d_model | gpu_texture,glb | ktx,glb | ktx,,4,23313
61,cleo-ai,https://web.meetcleo.com/,2,3d_model | environment_map,glb | hdr,glb | hdr,,2,8511084
699,your-majesty,https://yourmajesty.co/,2,3d_model | environment_map,glb | hdr,glb | hdr,,2,321367
777,aexlab-vail-vr,https://aexlab.com,2,environment_map | webassembly,exr,exr | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,1,190403
44,pacome-pertant-portfolio,https://pacomepertant.com/,2,gpu_texture | shader,,frag | ktx2,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
58,razorpay-sprint-26,https://razorpay.com/sprint/26,2,3d_model | vector_animation,,glb | riv,draco_decoder | gltf_loader | rive_runtime,0,0
87,wild-week-athens,https://week.wild.plus/athens-26,2,vector_animation | webassembly,,riv | wasm,offscreen_canvas | rive_runtime | shader_source | webassembly_runtime,0,0
138,griflan-2,https://griflan.com/,2,vector_animation | webassembly,,riv | wasm,offscreen_canvas | rive_runtime | shader_source | webassembly_runtime,0,0
143,ava-srg,https://srg.ava-digital.site/en,2,3d_model | environment_map,,glb | hdr,lottie_runtime,0,0
154,studio-dialect,https://studiodialect.com/,2,3d_model | webassembly,,glb | obj | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime | webxr,0,0
181,ironhill,https://ironhill.au/,2,gpu_texture | webassembly,,ktx2 | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
226,the-spark,https://spark.thedigitalpanda.com/,2,3d_model | webassembly,,glb | wasm,draco_decoder | lottie_runtime | offscreen_canvas | shader_source | web_worker | webassembly_runtime | webgpu,0,0
452,basement-studio-3,https://basement.studio,2,3d_model | environment_map,,exr | glb,,0,0
593,clear-street,https://www.clearstreet.io/,2,vector_animation | webassembly,,riv | wasm,rive_runtime | shader_source | webassembly_runtime,0,0
594,mew,https://mew.xyz/,2,vector_animation | webassembly,,riv | wasm,rive_runtime | shader_source | webassembly_runtime,0,0
614,amaterasu,https://amaterasu.ai/,2,gpu_texture | webassembly,,ktx2 | wasm,basis_ktx2_transcoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
660,emotion-agency-promo,https://promo.emotion-agency.com/,2,3d_model | shader,,frag | glb,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source,0,0
684,dogelon-mars,https://dogelonmars.com/,2,vector_animation | webassembly,,riv | wasm,rive_runtime | shader_source | webassembly_runtime,0,0
700,makemeplay,https://play.makemepulse.com,2,3d_model | webassembly,,glb | gltf | wasm,gltf_loader | shader_source,0,0
711,uprisingtm,https://www.weareuprising.com/,2,3d_model | webassembly,,obj | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
733,ashfall-studio,https://ashfall.studio/,2,3d_model | webassembly,,glb | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
752,techspeed,https://techspeed.com/,2,vector_animation | webassembly,,riv | wasm,offscreen_canvas | rive_runtime | shader_source | webassembly_runtime,0,0
766,a-chen-web-designer-of-wei-lai-jie,https://a-chen.webflow.io/,2,shader | spline_scene,,splinecode | vert,,0,0
788,anai,https://anaiwood.com/en,2,3d_model | webassembly,,glb | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
851,malvah-studio,https://www.malvah.co/,2,3d_model | webassembly,,glb | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
879,our-world,https://ourworld.justdiggit.org/en/,2,shader | webassembly,,frag | glsl | wasm,draco_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
939,mythic-codex,https://mythic-codex.webflow.io,2,spline_scene | webassembly,,splinecode | wasm,shader_source,0,0
971,adidas-arena,https://www.adidasarena.com/,2,3d_model | webassembly,,glb | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
1034,noomo-agency,https://noomoagency.com,2,3d_model | webassembly,,glb | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
1128,making-memories,https://lafabriqueasouvenirs.ca/en/,2,3d_model | webassembly,,glb | gltf | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
